sample_id,subject_folder,class_code,class_name,spectra_count,PC1,PC2,PC3
processed/年轻/1,1,0,年轻,8,-0.34622326437030376,0.04886379792484571,0.016593786990949034
processed/年轻/10,10,0,年轻,8,-0.34724245086355215,0.02396830103276977,0.03156495892030221
processed/年轻/11,11,0,年轻,8,-0.08851214084964638,0.13568201246650582,0.11484922651408454
processed/年轻/12,12,0,年轻,8,-0.13445626123428234,0.11215940163978941,0.09120017520211328
processed/年轻/13,13,0,年轻,8,-0.22913615610185775,0.10022454201692675,0.026514574671166528
processed/年轻/14,14,0,年轻,8,-0.16643411792909732,0.2199713185537239,0.007156475394101358
processed/年轻/15,15,0,年轻,8,-0.21889151847742203,0.15474876908451682,0.03819134319318127
processed/年轻/16,16,0,年轻,8,0.00567381780206544,0.17011383799414204,0.11915215318516943
processed/年轻/17,17,0,年轻,8,0.12337652147798178,0.1788974565449132,0.1266558375994858
processed/年轻/18,18,0,年轻,8,-0.07763506227150915,0.07376597515274654,0.09226784117651887
processed/年轻/19,19,0,年轻,8,-0.289568404444265,0.020410557670105845,0.062092032157209195
processed/年轻/2,2,0,年轻,8,-0.3446997639829797,0.04744229146552586,0.0388340262706178
processed/年轻/20,20,0,年轻,8,-0.3549143248062425,0.2791533632998381,-0.10599871808914817
processed/年轻/21,21,0,年轻,8,-0.23937670446484807,-0.12930983414994363,-0.05501775941988774
processed/年轻/22,22,0,年轻,8,-0.09184084713063057,-0.0315524043530531,0.05684959572667365
processed/年轻/23,23,0,年轻,8,-0.277073894416301,-0.10367291680044427,-0.05323133066691918
processed/年轻/24,24,0,年轻,8,-0.2839615051534563,-0.055552384890333414,-0.05302253581650568
processed/年轻/25,25,0,年轻,8,-0.3877791921612058,0.09152943279166917,-0.16402695666639583
processed/年轻/26,26,0,年轻,8,0.07149150912268633,-0.03774197004583652,0.08430943146483535
processed/年轻/27,27,0,年轻,8,0.15707548223541545,0.0013086982989641623,0.10667280477055496
processed/年轻/28,28,0,年轻,8,-0.006818575554371622,-0.09813356714152331,0.06569579830963101
processed/年轻/29,29,0,年轻,8,-0.11537147095533998,-0.08414041748561542,0.014002886353241142
processed/年轻/3,3,0,年轻,8,-0.03081117156908766,0.08722492988142443,0.13300640962815072
processed/年轻/30,30,0,年轻,8,0.05615003493722709,-0.04899139926280202,0.07653739744576696
processed/年轻/31,31,0,年轻,8,-0.08526417490687682,-0.12545185325344166,0.035977254473389224
processed/年轻/32,32,0,年轻,8,-0.11560638989256428,-0.047816687983033256,-0.0014939620458904732
processed/年轻/33,33,0,年轻,8,0.08595197558585867,-0.06210266780176676,0.08574553050453902
processed/年轻/34,34,0,年轻,8,0.2584760546318952,0.04959247678024049,0.0968560225491403
processed/年轻/35,35,0,年轻,8,0.0818112416561253,-0.031234466607676464,0.06671728209667815
processed/年轻/36,36,0,年轻,8,-0.03743192514060994,-0.07935591742722296,0.04633335488794385
processed/年轻/37,37,0,年轻,8,-0.08273802542050768,-0.09441859074829284,0.040953823043438885
processed/年轻/38,38,0,年轻,8,-0.10471125655849908,-0.13456696225685058,0.020166043338818985
processed/年轻/39,39,0,年轻,8,-0.04594113520589806,-0.07974168186360088,0.05457855212407193
processed/年轻/4,4,0,年轻,8,-0.3163967611808052,0.055881057408998215,0.022882355499734067
processed/年轻/40,40,0,年轻,8,-0.04198161574973466,-0.09838755108701919,0.04538728137120075
processed/年轻/41,41,0,年轻,8,0.10774339584113357,-0.03781738621812328,0.09659661795258909
processed/年轻/42,42,0,年轻,8,-0.029973789598510367,-0.07988240334054515,0.06998308710209648
processed/年轻/43,43,0,年轻,8,-0.057478542038358206,-0.12644592058488105,0.037560773111823986
processed/年轻/44,44,0,年轻,8,0.07210773202094112,-0.05239710191274061,0.07870299489395897
processed/年轻/45,45,0,年轻,8,-0.13528221696045845,-0.08955752490111368,0.02289682955936788
processed/年轻/46,46,0,年轻,8,0.17924878438295977,-0.011564224027870863,0.0980608091105324
processed/年轻/47,47,0,年轻,8,0.13317053470208137,-0.05106278911483708,0.09273128852753088
processed/年轻/48,48,0,年轻,8,0.0371390477212592,-0.07451645823844012,0.07291632044122334
processed/年轻/49,49,0,年轻,8,0.037538385264485115,-0.05377284087512095,0.07358586537488065
processed/年轻/5,5,0,年轻,8,-0.3248851777344118,0.103482113961334,-0.07345749784523549
processed/年轻/50,50,0,年轻,8,0.11801916085204615,-0.0421319324594884,0.09164467762665027
processed/年轻/51,51,0,年轻,8,0.03054355004410064,-0.07231851246691558,0.06905151477571014
processed/年轻/52,52,0,年轻,8,-0.04942614468289299,-0.10441811471089162,0.04678210459753996
processed/年轻/53,53,0,年轻,8,0.09114671165752848,-0.028152588956087195,0.07289536232631164
processed/年轻/54,54,0,年轻,8,0.21854040964025157,0.0023684135177251646,0.11077537548650292
processed/年轻/55,55,0,年轻,8,0.01531755946680508,-0.07518546682624407,0.07374406951620255
processed/年轻/56,56,0,年轻,8,-0.1225693602365392,-0.11372604016752515,0.016290138174750064
processed/年轻/57,57,0,年轻,8,-0.22964070746173573,-0.04624414690274027,-0.028615022561838035
processed/年轻/58,58,0,年轻,8,0.053725083792638344,-0.010499826653836766,0.07340462998825134
processed/年轻/59,59,0,年轻,8,-0.11698918044009013,-0.13181601178019425,0.009381470371185158
processed/年轻/6,6,0,年轻,8,-0.0069108038848360856,0.11039200952484861,0.12731606287303918
processed/年轻/60,60,0,年轻,8,-0.12808530929744488,-0.1197472535393417,0.015278403532615902
processed/年轻/7,7,0,年轻,8,-0.28591561414454897,0.17583760400830659,0.005526976487983999
processed/年轻/8,8,0,年轻,8,-0.3945196092122574,0.14639089750674691,-0.028525399857235487
processed/年轻/9,9,0,年轻,8,-0.0912465134148877,0.09532552983945751,0.09406500370791852
processed/衰老/1,1,1,衰老,8,0.2019513462910988,0.06312795854365073,-0.1470976212736835
processed/衰老/10,10,1,衰老,8,0.2767310245565965,0.08700971561424228,-0.059521529385004025
processed/衰老/11,11,1,衰老,8,0.008335088426853352,-0.08042596903807661,-0.14062028775107177
processed/衰老/12,12,1,衰老,8,0.017567317927483023,-0.037913088644875775,-0.12225418512095061
processed/衰老/13,13,1,衰老,8,0.19477930853219552,0.1073902023804982,-0.14994423307426694
processed/衰老/14,14,1,衰老,8,0.005973812164656411,-0.03587591119436415,-0.11105990445927125
processed/衰老/15,15,1,衰老,8,-0.059777869788308374,-0.07014755443166787,-0.10733577823792334
processed/衰老/16,16,1,衰老,8,0.1951629391675496,0.04326943052261805,-0.12314954095557773
processed/衰老/17,17,1,衰老,8,-0.04267949373894175,-0.0656690298504852,-0.13280627852072233
processed/衰老/18,18,1,衰老,8,-0.0620529524010569,-0.08025974149888462,-0.13480354769291852
processed/衰老/19,19,1,衰老,8,-0.02085803451850403,-0.02363547847248374,-0.15515016184551123
processed/衰老/2,2,1,衰老,8,0.09433358032031698,0.021226384972784285,-0.1465726318558224
processed/衰老/20,20,1,衰老,8,0.23771172488103137,0.060780136030710294,-0.06179372232412126
processed/衰老/21,21,1,衰老,8,0.15948174376160695,-0.0032394653429646007,-0.025655366187301583
processed/衰老/22,22,1,衰老,8,0.10998457507780775,0.01598815873042468,-0.056723948909718463
processed/衰老/23,23,1,衰老,8,0.1813197777087472,0.011873205177534967,-0.024464807928694286
processed/衰老/24,24,1,衰老,8,0.371047997692255,0.12463702400208332,-0.0036549615566311283
processed/衰老/25,25,1,衰老,8,0.050686226101172766,-0.022062107665383444,-0.05180689508625959
processed/衰老/26,26,1,衰老,8,0.07627334697433834,-0.03878007176223176,-0.031992017294579386
processed/衰老/27,27,1,衰老,8,0.07057755610525253,0.0019505767424277014,-0.034338796874705646
processed/衰老/28,28,1,衰老,8,0.21585400931453988,0.02133370924539153,-0.0333926942479535
processed/衰老/29,29,1,衰老,8,0.08229576828069322,-0.024164756728812728,-0.0348311656820693
processed/衰老/3,3,1,衰老,8,0.2388372152262919,0.048221168368238906,-0.04051749617006974
processed/衰老/30,30,1,衰老,8,0.027841695448763238,-0.020309610455771728,-0.1448612804555896
processed/衰老/31,31,1,衰老,8,-0.18794309440124524,-0.0909029138748657,-0.13285993626149886
processed/衰老/32,32,1,衰老,8,-0.028605893776326212,-0.08224750271769417,-0.0707559868382775
processed/衰老/33,33,1,衰老,8,0.09182172749009417,-0.007115966528148005,-0.05198730384700789
processed/衰老/34,34,1,衰老,8,0.23217155756028812,0.0196223362694649,-0.009663172175947293
processed/衰老/35,35,1,衰老,8,0.12461228349268229,-0.00270512515255342,-0.03916867428168369
processed/衰老/36,36,1,衰老,8,0.2370169942084695,0.07265686406525676,-0.035520666802043244
processed/衰老/37,37,1,衰老,8,0.17577145073634298,-0.02993671933097845,-0.012580306720290455
processed/衰老/38,38,1,衰老,8,0.15059667586248165,-0.05916988471698948,-0.018311314272239133
processed/衰老/4,4,1,衰老,8,0.1936214289897152,0.005011971847717931,-0.04215371692438572
processed/衰老/5,5,1,衰老,8,0.21066480764550916,0.006310368025462339,-0.044845974957197624
processed/衰老/6,6,1,衰老,8,0.25929362906613596,0.06764255469081298,-0.07008394401088942
processed/衰老/7,7,1,衰老,8,0.11515165408221836,-0.038013491504757004,-0.046233944752904085
processed/衰老/8,8,1,衰老,8,0.37965968817134255,0.12738288540916046,-0.04486588956100859
processed/衰老/9,9,1,衰老,8,0.3142834744232357,0.08583276674283692,-0.010165763136527492
